address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
57 Reade St APT 15B,NEW YORK,NY,10007,6495000,3000.0,4.0,5.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/57-Reade-St-APT-15B-New-York-NY-10007/120288141_zpid/
55 Warren St # LOFT3,New York,NY,10007,6000000,3627.0,4.0,4.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/55-Warren-St-LOFT3-New-York-NY-10007/2090118772_zpid/
25 Murray St APT 10D,New York,NY,10007,3995000,2015.0,3.0,3.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/25-Murray-St-APT-10D-New-York-NY-10007/83936352_zpid/
9 Murray St APT 7SE,New York,NY,10007,3998000,2688.0,3.0,3.0,17,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/9-Murray-St-APT-7SE-New-York-NY-10007/2089880881_zpid/
45 Park Pl # 12E,New York,NY,10007,4995000,1958.0,3.0,4.0,25,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/45-Park-Pl-12E-New-York-NY-10007/2090045919_zpid/
100 Barclay St APT 12S,New York,NY,10007,3200000,1828.0,1.0,2.0,21,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/100-Barclay-St-APT-12S-New-York-NY-10007/2095211996_zpid/
45 Park Pl # 8W,New York,NY,10007,1920000,880.0,1.0,1.0,23,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/45-Park-Pl-8W-New-York-NY-10007/2089986817_zpid/
261 Broadway APT 2C,New York,NY,10007,1195000,NA,1.0,1.0,NA,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/261-Broadway-APT-2C-New-York-NY-10007/244790303_zpid/
100 Barclay St,New York,NY,10007,59000000,14539.0,7.0,10.0,98,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/100-Barclay-St-New-York-NY-10007/2101686201_zpid/
30 Park Pl # 82,New York,NY,10007,30000000,4538.0,3.0,5.0,92,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/30-Park-Pl-82-New-York-NY-10007/219636877_zpid/
