address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
215 Chrystie St # 29WEST,New York,NY,10002,9995000,1977.0,2.0,3.0,80,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/215-Chrystie-St-29WEST-New-York-NY-10002/2100279585_zpid/
105 Norfolk St APT 11B,New York,NY,10002,1875000,1401.0,2.0,2.0,87,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/105-Norfolk-St-APT-11B-New-York-NY-10002/2129887723_zpid/
199 Bowery APT 8B,NEW YORK,NY,10002,1300000,610.0,1.0,1.0,22,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/199-Bowery-APT-8B-New-York-NY-10002/80008102_zpid/
417 Grand St APT D2005,New York,NY,10002,975000,800.0,1.0,1.0,NA,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/417-Grand-St-APT-D2005-New-York-NY-10002/2090779453_zpid/
287 E Houston St # 10A,New York,NY,10002,2700000,1185.0,2.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/287-E-Houston-St-10A-New-York-NY-10002/2089743410_zpid/
100 Norfolk St # 5B,New York,NY,10002,2095000,1097.0,2.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/100-Norfolk-St-5B-New-York-NY-10002/2104982266_zpid/
109 Norfolk St APT 3,NEW YORK,NY,10002,2095000,1446.0,2.0,2.0,158,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/109-Norfolk-St-APT-3-New-York-NY-10002/83935502_zpid/
(undisclosed Address),New York,NY,10002,9750000,NA,0.0,NA,2032,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/(undisclosed-Address)-New-York-NY-10002/2116324148_zpid/
504 Grand St APT F51,New York,NY,10002,849000,NA,2.0,1.0,NA,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/504-Grand-St-APT-F51-New-York-NY-10002/2095880802_zpid/
195 Bowery APT 10,NEW YORK,NY,10002,2999000,1811.0,2.0,3.0,211,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/195-Bowery-APT-10-New-York-NY-10002/65322151_zpid/
154 Attorney St # 702,NEW YORK,NY,10002,3700000,1875.0,3.0,3.0,74,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/154-Attorney-St-702-New-York-NY-10002/79979265_zpid/
75 Ludlow St # 2C,New York,NY,10002,2150000,1575.0,2.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/75-Ludlow-St-2C-New-York-NY-10002/2112135995_zpid/
255 Bowery # 4,New York,NY,10002,2250000,1201.0,2.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/255-Bowery-4-New-York-NY-10002/2100008910_zpid/
550 Grand St APT H5G,New York,NY,10002,745000,750.0,1.0,1.0,120,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/550-Grand-St-APT-H5G-New-York-NY-10002/2104189329_zpid/
287 E Houston St # 6A,New York,NY,10002,2745000,1386.0,2.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/287-E-Houston-St-6A-New-York-NY-10002/2094427440_zpid/
71 Ludlow St APT 6A,NEW YORK,NY,10002,4300000,2150.0,3.0,3.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/71-Ludlow-St-APT-6A-New-York-NY-10002/97516304_zpid/
577 Grand St APT F804,New York,NY,10002,875000,NA,2.0,1.0,64,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/577-Grand-St-APT-F804-New-York-NY-10002/2090723093_zpid/
50 Clinton St # PHA,New York,NY,10002,3295000,1226.0,2.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/50-Clinton-St-PHA-New-York-NY-10002/2101764163_zpid/
171 Henry St # 4B,New York,NY,10002,872100,684.0,0.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/171-Henry-St-4B-New-York-NY-10002/2091834161_zpid/
134 Suffolk St UNIT D,New York,NY,10002,1195000,920.0,0.0,1.0,129,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/134-Suffolk-St-UNIT-D-New-York-NY-10002/2091650453_zpid/
150 Rivington St # 4I,New York,NY,10002,1750000,864.0,2.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/150-Rivington-St-4I-New-York-NY-10002/2098337336_zpid/
477 Fdr Dr # L1107,New York,NY,10002,659000,NA,1.0,1.0,NA,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/477-Fdr-Dr-L1107-New-York-NY-10002/2090380514_zpid/
475 Fdr Dr APT L306,New York,NY,10002,635000,800.0,1.0,1.0,NA,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/475-Fdr-Dr-APT-L306-New-York-NY-10002/2096589337_zpid/
196 Orchard St # 6R,New York,NY,10002,1725000,853.0,1.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/196-Orchard-St-6R-New-York-NY-10002/2090283577_zpid/
150 Rivington St # 4F,New York,NY,10002,1065000,543.0,1.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/150-Rivington-St-4F-New-York-NY-10002/2095009585_zpid/
530 Grand St APT D10C,New York,NY,10002,849000,NA,2.0,1.0,NA,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/530-Grand-St-APT-D10C-New-York-NY-10002/2091065033_zpid/
196 Orchard St # 4G,New York,NY,10002,2285000,970.0,2.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/196-Orchard-St-4G-New-York-NY-10002/2090408343_zpid/
287 E Houston St # 5D,New York,NY,10002,1230000,624.0,1.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/287-E-Houston-St-5D-New-York-NY-10002/2089743411_zpid/
196 Orchard St # 10D,New York,NY,10002,4200000,1555.0,3.0,3.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/196-Orchard-St-10D-New-York-NY-10002/2096377866_zpid/
50 Orchard St APT 6A,New York,NY,10002,2295000,1443.0,2.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/50-Orchard-St-APT-6A-New-York-NY-10002/2090119753_zpid/
171 Henry St # 3C,New York,NY,10002,1133750,907.0,1.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/171-Henry-St-3C-New-York-NY-10002/2091834162_zpid/
150 Rivington St # 2C,New York,NY,10002,2750000,1378.0,3.0,3.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/150-Rivington-St-2C-New-York-NY-10002/2098320664_zpid/
154 Attorney St APT 302,NEW YORK,NY,10002,1695000,1250.0,2.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/154-Attorney-St-APT-302-New-York-NY-10002/80011733_zpid/
259 Bowery FL 5,New York,NY,10002,2750000,1450.0,1.0,1.0,15,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/259-Bowery-FL-5-New-York-NY-10002/2089840326_zpid/
